CODE_QUARTIER;INCOME_1;INCOME_2;INCOME_3;INCOME_4;INCOME_5;INCOME_6;INCOME_7;INCOME_8;INCOME_9;INCOME_10;INCOME_11;INCOME_12;INCOME_13;INCOME_14;INCOME_15;INCOME_16;FAMILIES_1;FAMILIES_2;FAMILIES_3;FAMILIES_4;FAMILIES_5;FAMILIES_6;FAMILIES_7;FAMILIES_8;FAMILIES_9;FAMILIES_10;POP_IN_LABOUR_FORCE_CIVIL_EMP;POP_IN_LABOUR_FORCE_CIVIL_UNEMP;POP_IN_LABOUR_FORCE_ARME;POP_OUT_LABOUR_FORCE;OCC_1;OCC_2;OCC_3;OCC_4;OCC_5;IND_1;IND_2;IND_3;IND_4;IND_5;IND_6;IND_7;IND_8;IND_9;IND_10;IND_11;IND_12;IND_13;WORKER_1;WORKER_2;WORKER_3;WORKER_4;0_VEHICLE;1_VEHICULE;2_VEHICULE;3_MORE_VEHICULE;SEXE_M;SEXE_F;TR1_AGE ;TR2_AGE ;TR3_AGE ;TR4_AGE ;TR5_AGE ;TR6_AGE ;TR7_AGE ;TR8_AGE ;TR9_AGE ;TR10_AGE ;TR11_AGE ;TR12_AGE ;TR13_AGE ;RELATION_HOUSEHOLDER;RELATION_SPOSE;RELATION_CHILD;RELATION_OTHER;RELATION_NORELATIVE;RELATION_NORELATIVE_UNMARRIED;SCHOOL_BEFORE;SCHOOL_KINDERGARDEN;SCHOOL_ELEMENTARY;SCHOOL_HIGH;SCHOOL_COLLEGE;EDUC_1;EDUC_2;EDUC_3;EDUC_4;EDUC_5;EDUC_6;EDUC_7;OWNER_OCC;RENTER_OCC;1_UNIT_DET;1_UNIT_ATT;2_UNITS;3_4_UNITS;5_9_UNITS;10_19_UNITS;20_MORE_UNITS;MOBILE_HOME;BOAT_RV_VAN
QN10;407;497;982;846;1143;1776;1736;2123;913;896;8745;3632;2972;426;245;731;153;128;429;479;485;1044;1268;1661;898;823;12732;1034;0;10104;5258;2373;2985;1226;890;0;902;323;231;685;1028;368;1388;1390;4024;814;401;1178;8647;3520;519;46;2245;4843;3248;983;14356;15187;1535;1954;1867;1651;1212;2749;3973;4730;2277;2286;2758;1824;727;11319;5766;8758;1379;827;462;544;361;3090;1465;1562;947;1516;5551;3981;1713;4209;3407;7250;4069;7009;560;1559;826;415;295;3111;10;0
QN12;2037;831;1238;1521;1568;2068;1158;1171;346;219;9145;2551;1946;1047;1325;3727;1202;494;900;916;1063;1512;871;883;275;180;12620;2418;45;11292;3355;4078;2757;863;1567;0;486;479;156;931;1398;127;751;971;4867;849;615;990;8846;3199;575;0;5935;4407;1528;287;16469;19031;2756;2650;2989;3056;2622;4337;4415;5358;1753;1588;2172;1240;564;12157;3343;13387;3811;1243;690;571;714;4546;2871;2404;1769;3687;7128;4067;1233;2455;1088;3871;8286;1140;1177;2611;913;495;430;7062;0;10
QN15;3073;1235;1766;1321;1655;2625;1634;1434;606;711;11414;4026;1366;1974;1258;5330;932;654;965;878;1390;1912;1368;1151;518;643;19281;2252;34;15558;5749;5292;4514;1839;1887;0;1409;664;333;1816;1661;373;1427;1840;6045;1264;1466;983;15386;2841;1027;27;7817;4980;2611;652;23253;27041;4966;3648;3789;3573;4108;7624;5518;5545;2644;2065;3571;2269;974;16060;5612;18765;5702;1849;850;1303;893;5947;3238;3272;3923;3743;8432;5222;1868;4291;2731;4111;11949;2804;898;3555;1472;614;524;7986;0;30
SI07;284;346;612;426;759;1448;1549;1968;1124;567;7058;3093;2486;271;127;459;84;154;243;249;439;953;1086;1719;1065;532;11211;792;0;7644;4287;2047;2970;939;968;0;771;217;158;872;933;358;1326;1080;3259;503;550;1184;7646;3143;422;0;1028;3401;3291;1363;11971;12231;1450;1201;1681;1449;1340;2472;3876;3893;1634;1472;1831;1267;636;9083;5184;7707;1332;805;446;584;240;2224;1273;1644;458;1058;5685;3446;1015;3358;2061;6689;2394;5273;1204;2207;370;195;86;324;15;0
SI08;824;392;605;908;1325;1348;871;1110;292;266;6497;1428;850;544;480;1402;460;304;428;521;876;845;587;755;275;247;10496;1058;0;6792;3121;3320;2480;771;804;0;430;506;145;672;640;340;1012;1054;3721;933;539;504;8310;1650;536;0;2203;3705;1733;300;10469;13389;1838;1887;1533;2453;2498;3731;2805;3107;959;1145;960;599;343;7941;3141;7428;2272;965;278;415;311;2592;1331;3753;1731;1403;3667;2380;1090;2068;1310;3410;4531;1574;1707;1122;560;73;132;3364;35;0
SI12;976;534;887;1093;1363;1382;1254;1656;589;291;7714;2229;1604;691;600;2167;575;349;509;832;1079;1236;1179;1338;539;284;12489;1212;0;9579;3816;3213;3241;985;1234;0;721;388;161;1354;828;254;1364;1267;3400;1059;733;960;9263;2748;443;35;2533;4025;2494;973;14153;16320;2230;1919;2564;2703;2585;4475;4378;4378;1537;1302;1363;783;256;10025;4479;11921;2399;1443;755;343;407;3585;2374;3084;1354;1887;6685;3217;1588;2408;1333;6043;3982;2354;3584;2988;420;285;176;1263;128;0
SI22;1835;744;1344;1014;1242;1843;1282;1516;532;334;8702;2709;1785;758;975;3147;1119;313;833;491;845;1090;962;1191;522;261;12509;1438;37;9874;4624;3216;2734;840;1095;0;739;350;213;1094;654;325;933;1501;4356;1027;530;787;9085;2770;636;18;4959;4332;1911;484;15078;16136;2577;2319;2063;2581;2103;4530;4170;4445;1538;1606;1903;982;397;11686;3752;10875;2800;1147;636;573;551;3489;2046;2079;1122;2191;5708;3557;1338;3303;2352;4698;6988;2938;1331;3002;1289;369;407;4384;37;0
SI28;784;355;484;424;649;1056;940;921;594;162;4748;1700;1186;264;469;1078;433;169;307;297;387;843;812;789;546;155;8057;603;0;5999;2371;1759;1731;1269;927;0;967;225;126;655;844;170;499;623;2239;485;461;763;5623;2137;297;0;1551;2440;1721;657;9374;9866;1774;1431;1159;1260;1328;3137;2577;2475;1098;1024;750;841;386;6369;3033;6659;1940;1094;332;289;288;2047;1118;1029;844;1274;4379;2235;987;1673;896;3948;2421;2783;1020;2301;255;162;318;220;5;0
SI35;480;140;558;484;572;943;963;1058;442;663;5093;1586;1179;263;136;691;230;39;183;296;392;576;776;938;398;586;7883;794;0;5646;3517;1547;1620;531;668;0;516;290;55;618;288;119;725;823;2768;647;358;676;5672;1796;399;16;1113;2353;2169;668;9334;8976;1127;1253;1289;1279;1232;2408;2319;2856;1336;1016;927;835;433;6303;3323;6162;1242;641;233;315;321;1937;1096;1256;741;614;3493;2177;970;2167;1968;4049;2254;3400;696;1558;436;156;64;656;35;10
SI37;977;521;1078;758;1067;1193;1249;1490;526;256;6844;2244;1359;752;429;1838;560;221;598;532;637;896;835;1196;452;180;10978;870;32;8906;3164;3042;2600;1139;1033;0;913;286;201;1306;578;176;805;1094;2932;1108;726;853;7986;2233;759;0;2952;3731;1918;514;12697;12938;1379;1696;1482;1825;2116;3998;3429;3799;1872;1089;1445;1109;396;9115;3807;8195;2361;1315;335;295;361;2368;1661;2034;1746;1899;5397;2719;1004;3008;1364;4485;4630;2407;1965;2636;987;305;269;1559;64;0
