"","type","name","lat","lon"
"129","station","Emerson Pl & Myrtle Ave",40.69363137,-73.96223558
"130","station","Bayard St & Baxter St",40.71602118,-73.99974372
"131","station","Bialystoker Pl & Delancey St",40.71622644,-73.98261206
"132","station","E 11 St & Broadway",40.73261787,-73.99158043
"133","station","Christopher St & Greenwich St",40.73291553,-74.00711384
"134","station","E 47 St & Park Ave",40.75510267,-73.97498696
"135","station","William St & Pine St",40.70717936,-74.00887308
"136","station","Allen St & Hester St",40.71605866,-73.99190759
"137","station","Broadway & W 37 St",40.75172632,-73.98753523
"138","station","West Thames St",40.70834698,-74.01713445
"139","station","Lafayette Ave & Classon Ave",40.68900443,-73.96023854
"140","station","Fulton St & Grand Ave",40.68223166,-73.9614583
"141","station","Clinton Ave & Myrtle Ave",40.693261,-73.968896
"142","station","E 53 St & Lexington Ave",40.75828065,-73.97069431
"143","station","Carmine St & 6 Ave",40.73038599,-74.00214988
"144","station","Washington Pl & 6 Ave",40.73224119,-74.00026394
"145","station","Franklin Ave & Myrtle Ave",40.694528,-73.958089
"146","station","Willoughby Ave & Walworth St",40.69331716,-73.95381995
"147","station","John St & William St",40.70862144,-74.00722156
"148","station","6 Ave & Canal St",40.72243797,-74.00566443
"149","station","W 31 St & 7 Ave",40.749156,-73.9916
"150","station","W 4 St & 7 Ave S",40.73401143,-74.00293877
"151","station","University Pl & E 14 St",40.73492695,-73.99200509
"152","station","Greenwich Ave & Charles St",40.735238,-74.000271
"153","station","Fulton St & Washington Ave",40.683048,-73.964915
"154","station","E 55 St & 2 Ave",40.75797322,-73.96603308
"155","station","Centre St & Worth St",40.71494807,-74.00234482
"156","station","Centre St & Chambers St",40.71273266,-74.0046073
"157","station","W 26 St & 10 Ave",40.749717753,-74.002950346
"158","station","Broadway & Berry St",40.71044554,-73.96525063
"159","station","Duffield St & Willoughby St",40.69221589,-73.9842844
"160","station","Clark St & Henry St",40.69760127,-73.99344559
"161","station","Jay St & Tech Pl",40.695065,-73.987167
"162","station","E 5 St & Avenue C",40.72299208,-73.97995466
"163","station","E 9 St & Avenue C",40.72521311,-73.97768752
"164","station","Bond St & Schermerhorn St",40.68807003,-73.98410637
"165","station","Lefferts Pl & Franklin Ave",40.680342423,-73.9557689392
"166","station","Fulton St & Clermont Ave",40.68415748,-73.96922273
"167","station","Atlantic Ave & Furman St",40.69165183,-73.9999786
"168","station","Lafayette Ave & St James Pl",40.68851534,-73.9647628
"169","station","Pitt St & Stanton St",40.71926081,-73.98178024
"170","station","Allen St & Rivington St",40.72019576,-73.98997825
"171","station","Broadway & E 22 St",40.7403432,-73.98955109
"172","station","Washington St & Gansevoort St",40.739323,-74.008119
"173","station","Hicks St & Montague St",40.69512845,-73.99595065
"174","station","Henry St & Poplar St",40.700469,-73.991454
"175","station","Market St & Cherry St",40.71076228,-73.99400398
"176","station","DeKalb Ave & Skillman St",40.6906495,-73.95643107
"177","station","Suffolk St & Stanton St",40.72066442,-73.98517977
"178","station","E 6 St & Avenue D",40.72228087,-73.97668709
"179","station","Forsyth St & Canal St",40.7158155,-73.99422366
"180","station","Pearl St & Anchorage Pl",40.70281858,-73.98765762
"181","station","Pearl St & Hanover Square",40.7047177,-74.00926027
"182","station","Cumberland St & Lafayette Ave",40.68753406,-73.97265183
"183","station","Barclay St & Church St",40.71291224,-74.01020234
"184","station","Front St & Gold St",40.70224,-73.982578
"185","station","Carlton Ave & Park Ave",40.69580705,-73.97355569
"186","station","Clermont Ave & Lafayette Ave",40.68764484,-73.96968902
"187","station","Clermont Ave & Park Ave",40.69573398,-73.97129668
"188","station","W 59 St & 10 Ave",40.770513,-73.988038
"189","station","W 54 St & 9 Ave",40.76584941,-73.98690506
"190","station","West St & Chambers St",40.71754834,-74.01322069
"191","station","Bus Slip & State St",40.701907,-74.013942
"192","station","E 3 St & 1 Ave",40.72467721,-73.98783413
"193","station","York St & Jay St",40.7014851,-73.98656928
"194","station","E 7 St & Avenue A",40.72621788,-73.98379855
"195","station","E 13 St & Avenue A",40.72955361,-73.98057249
"196","station","9 Ave & W 18 St",40.74317449,-74.00366443
"197","station","W 21 St & 6 Ave",40.74173969,-73.99415556
"198","station","Hancock St & Bedford Ave",40.68216564,-73.95399026
"199","station","Macon St & Nostrand Ave",40.6809833854,-73.9500479759
"200","station","St Marks Pl & 1 Ave",40.72779126,-73.98564945
"201","station","E 4 St & 2 Ave",40.7262807,-73.98978041
"202","station","E 45 St & 3 Ave",40.75255434,-73.97282625
"203","station","E 52 St & 2 Ave",40.756014,-73.967416
"204","station","W 27 St & 7 Ave",40.746647,-73.993915
"205","station","Bedford Ave & S 9 St",40.70853074,-73.96408963
"206","station","Broadway & W 24 St",40.7423543,-73.98915076
"207","station","E 10 St & Avenue A",40.72740794,-73.98142006
"208","station","W 24 St & 7 Ave",40.74487634,-73.99529885
"209","station","8 Ave & W 52 St",40.76370739,-73.9851615
"210","station","W 37 St & 10 Ave",40.75660359,-73.9979009
"211","station","W 52 St & 9 Ave",40.76461837,-73.98789473
"212","station","W 49 St & 8 Ave",40.76227205,-73.98788205
"213","station","W 22 St & 8 Ave",40.74475148,-73.99915362
"214","station","E 51 St & 1 Ave",40.75455731,-73.96592976
"215","station","1 Ave & E 44 St",40.75001986,-73.96905301
"216","station","E 53 St & Madison Ave",40.7597108,-73.97402311
"217","station","Broadway & W 58 St",40.76695317,-73.98169333
"218","station","11 Ave & W 27 St",40.751396,-74.005226
"219","station","W 20 St & 11 Ave",40.746745,-74.007756
"220","station","S 4 St & Wythe Ave",40.71285887,-73.96590294
"221","station","E 20 St & 2 Ave",40.73587678,-73.98205027
"222","station","W 22 St & 10 Ave",40.74691959,-74.00451887
"223","station","Broadway & W 41 St",40.75513557,-73.98658032
"224","station","W 25 St & 6 Ave",40.74395411,-73.99144871
"225","station","Dean St & 4 Ave",40.68312489,-73.97895137
"226","station","Broadway & W 55 St",40.7652654,-73.98192338
"227","station","Broadway & W 53 St",40.76344058,-73.98268129
"228","station","W 20 St & 8 Ave",40.74345335,-74.00004031
"229","station","Grand St & Havemeyer St",40.71286844,-73.95698119
"230","station","E 32 St & Park Ave",40.7457121,-73.98194829
"231","station","Rivington St & Chrystie St",40.72110063,-73.9919254
"232","station","5 Ave & E 29 St",40.7451677,-73.98683077
"233","station","E 16 St & Irving Pl",40.73524276,-73.98758561
"234","station","E 31 St & 3 Ave",40.74394314,-73.97966069
"235","station","W 41 St & 8 Ave",40.75640548,-73.9900262
"236","station","11 Ave & W 41 St",40.76030096,-73.99884222
"237","station","9 Ave & W 45 St",40.76019252,-73.9912551
"238","station","W 53 St & 10 Ave",40.76669671,-73.99061728
"239","station","S 3 St & Bedford Ave",40.71260486,-73.96264403
"240","station","W 15 St & 7 Ave",40.73935542,-73.99931783
"241","station","E 12 St & 3 Ave",40.73223272,-73.98889957
"242","station","W 44 St & 5 Ave",40.75500254,-73.98014437
"243","station","W 37 St & 5 Ave",40.75038009,-73.98338988
"244","station","Broadway & W 29 St",40.7462009,-73.98855723
"245","station","E 20 St & FDR Drive",40.73314259,-73.97573881
"246","station","W 39 St & 9 Ave",40.75645824,-73.99372222
"247","station","8 Ave & W 33 St",40.751551,-73.993934
"248","station","E 24 St & Park Ave S",40.74096374,-73.98602213
"249","station","W 33 St & 7 Ave",40.75019995,-73.99093085
"250","station","W 45 St & 6 Ave",40.7568001,-73.98291153
"251","station","W 26 St & 8 Ave",40.74734825,-73.99723551
"252","station","W 47 St & 10 Ave",40.76269882,-73.99301222
"253","station","E 16 St & 5 Ave",40.73726186,-73.99238967
"254","station","E 17 St & Broadway",40.73704984,-73.99009296
"255","station","Broadway & W 32 St",40.74854862,-73.98808416
"256","station","Broadway & W 60 St",40.76915505,-73.98191841
"257","station","Broadway & W 51 St",40.76228826,-73.98336183
"258","station","FDR Drive & E 35 St",40.744219,-73.97121214
"259","station","Henry St & Grand St",40.714215,-73.981346
"260","station","E 20 St & Park Ave",40.73827428,-73.98751968
"261","station","1 Ave & E 16 St",40.73221853,-73.98165557
"262","station","6 Ave & W 33 St",40.74901271,-73.98848395
"263","station","E 25 St & 2 Ave",40.73912601,-73.97973776
"264","station","W 46 St & 11 Ave",40.76341379,-73.99667444
"265","station","9 Ave & W 22 St",40.7454973,-74.00197139
"266","station","W 51 St & 6 Ave",40.7606597,-73.98042047
"267","station","E 14 St & Avenue B",40.72938685,-73.97772429
"268","station","W 56 St & 10 Ave",40.768254,-73.988639
"269","station","12 Ave & W 40 St",40.76087502,-74.00277668
"270","station","W 43 St & 10 Ave",40.76009437,-73.99461843
"271","station","E 47 St & 1 Ave",40.75206862,-73.96784384
"272","station","Pershing Square South",40.751581,-73.97791
"273","station","E 39 St & 2 Ave",40.74780373,-73.9734419
"274","station","Pershing Square North",40.751873,-73.977706
"275","station","W 52 St & 5 Ave",40.75992262,-73.97648516
"276","station","E 51 St & Lexington Ave",40.75714758,-73.97207836
